# ,pipe out 1,Ext. pipe,pipe in 0,pipe in 1,pipe out 0,pkg L,pkg C,pkg R border
Avg,15.24,17.06,15.30,15.21,15.29,16.49,17.17,17.25
Cooldiff,0.01,1.83,0.07,-0.01,0.06,1.26,1.94,2.02
Disp,0.02,0.04,0.03,0.01,0.01,0.03,0.01,0.01
Max,15.38,17.15,15.41,15.28,15.33,16.52,17.21,17.29
Min,15.08,16.99,15.16,15.16,15.26,16.41,17.13,17.18
Slope,0.00,0.02,-0.01,-0.00,0.00,0.00,0.01,0.02
Std,0.05,0.04,0.04,0.02,0.02,0.02,0.02,0.02


# ,pipe out 1,Ext. pipe,pipe in 0,pipe in 1,pipe out 0,pkg L,pkg C,pkg R border
Avg,15.29,17.16,15.33,15.24,15.33,16.44,17.26,17.44
Cooldiff,0.03,1.89,0.06,-0.03,0.06,1.17,1.99,2.17
Disp,0.03,0.04,0.01,0.02,0.00,0.00,0.00,0.01
Max,15.38,17.29,15.38,15.28,15.38,16.49,17.31,17.47
Min,15.23,17.02,15.18,15.16,15.26,16.41,17.15,17.34
Slope,-0.00,-0.01,0.00,0.00,-0.01,-0.00,0.00,-0.00
Std,0.03,0.04,0.03,0.03,0.02,0.01,0.02,0.02


